MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,Shimmer:DDA,HNR
124.445,135.069,117.495,0.00431,3e-05,0.00141,0.00167,0.00422,0.02184,0.197,0.01241,0.01024,0.03724,25.135
126.344,134.231,112.773,0.00448,4e-05,0.00131,0.00169,0.00393,0.02033,0.185,0.01143,0.00959,0.03429,25.03
128.001,138.052,122.08,0.00436,3e-05,0.00137,0.00166,0.00411,0.02297,0.21,0.01323,0.01072,0.03969,24.692
129.336,139.867,118.604,0.0049,4e-05,0.00165,0.00183,0.00495,0.02498,0.228,0.01396,0.01219,0.04188,25.429
108.807,134.656,102.874,0.00761,7e-05,0.00349,0.00486,0.01046,0.02719,0.255,0.01483,0.01609,0.0445,21.028
109.86,126.358,104.437,0.00874,8e-05,0.00398,0.00539,0.01193,0.03209,0.307,0.01789,0.01992,0.05368,20.767
110.417,131.067,103.37,0.00784,7e-05,0.00352,0.00514,0.01056,0.03715,0.334,0.02032,0.02302,0.06097,21.422
117.274,129.916,110.402,0.00752,6e-05,0.00299,0.00469,0.00898,0.02293,0.221,0.01189,0.01459,0.03568,22.817
116.879,131.897,108.153,0.00788,7e-05,0.00334,0.00493,0.01003,0.02645,0.265,0.01394,0.01625,0.04183,22.603
114.847,271.314,104.68,0.00867,8e-05,0.00373,0.0052,0.0112,0.03225,0.35,0.01805,0.01974,0.05414,21.66
209.144,237.494,109.379,0.00282,1e-05,0.00147,0.00152,0.00442,0.01861,0.17,0.00975,0.01258,0.02925,25.554
223.365,238.987,98.664,0.00264,1e-05,0.00154,0.00151,0.00461,0.01906,0.165,0.01013,0.01296,0.03039,26.138
222.236,231.345,195.708,0.00266,1e-05,0.00152,0.00144,0.00457,0.01643,0.145,0.00867,0.01108,0.02602,25.856
228.832,234.619,195.708,0.00296,1e-05,0.00175,0.00155,0.00526,0.01644,0.145,0.00882,0.01075,0.02647,25.964
229.401,252.221,195.708,0.00205,9e-06,0.00114,0.00113,0.00342,0.01457,0.129,0.00769,0.00957,0.02308,26.415
228.969,239.541,113.201,0.00238,1e-05,0.00136,0.0014,0.00408,0.01745,0.154,0.00942,0.0116,0.02827,24.547
140.341,159.774,67.021,0.00817,6e-05,0.0043,0.0044,0.01289,0.03198,0.313,0.0183,0.0181,0.0549,19.56
136.969,166.607,66.004,0.00923,7e-05,0.00507,0.00463,0.0152,0.03111,0.308,0.01638,0.01759,0.04914,19.979
143.533,162.215,65.809,0.01101,8e-05,0.00647,0.00467,0.01778,0.05384,0.478,0.03152,0.02422,0.09455,20.338
148.09,162.824,67.343,0.00762,5e-05,0.00467,0.00354,0.014,0.05428,0.497,0.03357,0.02494,0.1007,21.718
142.729,162.408,65.476,0.00831,6e-05,0.00469,0.00419,0.01407,0.03485,0.365,0.01868,0.01906,0.05605,20.264
136.358,176.595,65.75,0.00971,7e-05,0.00534,0.00478,0.01601,0.04978,0.483,0.02749,0.02466,0.08247,18.57
120.08,139.71,111.208,0.00405,3e-05,0.0018,0.0022,0.0054,0.01706,0.152,0.00974,0.00925,0.02921,25.742
112.014,177.4146338797814,107.024,0.00533,5e-05,0.00268,0.00329,0.00805,0.02448,0.226,0.01373,0.01375,0.0412,24.178
110.793,128.101,107.316,0.00494,4e-05,0.0026,0.00283,0.0078,0.02442,0.216,0.01432,0.01325,0.04295,25.438
110.707,122.611,105.007,0.00516,5e-05,0.00277,0.00289,0.00831,0.02215,0.206,0.01284,0.01219,0.03851,25.197
112.876,148.826,106.981,0.005,4e-05,0.0027,0.00289,0.0081,0.03999,0.35,0.02413,0.02231,0.07238,23.37
110.568,125.394,106.821,0.00462,4e-05,0.00226,0.0028,0.00677,0.02199,0.197,0.01284,0.01199,0.03852,25.82
95.385,102.145,90.264,0.00608,6e-05,0.00331,0.00332,0.00994,0.03202,0.263,0.01803,0.01886,0.05408,21.875
100.77,115.697,85.545,0.01038,3.744262295081968e-05,0.00622,0.00576,0.01778,0.03121,0.361,0.01773,0.01783,0.0532,19.2
96.106,108.664,84.51,0.00694,7e-05,0.00389,0.00415,0.01168,0.04024,0.364,0.02266,0.02451,0.06799,19.055
95.605,107.715,87.549,0.00702,7e-05,0.00428,0.00371,0.01283,0.03156,0.296,0.01792,0.01841,0.05377,19.659
100.96,110.019,95.628,0.00606,6e-05,0.00351,0.00348,0.01053,0.02427,0.216,0.01371,0.01421,0.04114,20.536
98.804,102.305,87.804,0.00432,4e-05,0.00247,0.00258,0.00742,0.02223,0.202,0.01277,0.01343,0.03831,22.244
176.858,205.56,75.344,0.00747,4e-05,0.00418,0.0042,0.01254,0.04795,0.435,0.02679,0.03022,0.08037,13.893
180.978,200.125,155.495,0.00406,2e-05,0.0022,0.00244,0.00659,0.03852,0.331,0.02107,0.02493,0.06321,16.176
178.222,202.45,141.047,0.00321,2e-05,0.00163,0.00194,0.00488,0.03759,0.327,0.02073,0.02415,0.06219,15.924
176.281,227.381,125.61,0.0052,3e-05,0.00287,0.00312,0.00862,0.06511,0.58,0.03671,0.04159,0.11012,13.922
173.898,211.35,74.677,0.00448,3e-05,0.00237,0.00254,0.0071,0.06727,0.65,0.03788,0.04254,0.11363,14.739
179.711,225.93,144.878,0.00709,4e-05,0.00391,0.00419,0.01172,0.04313,0.442,0.02297,0.02768,0.06892,11.866
166.605,206.008,78.032,0.00742,4e-05,0.00387,0.00453,0.01161,0.0664,0.634,0.0365,0.04282,0.10949,11.744
151.955,163.335,147.226,0.00419,3e-05,0.00224,0.00227,0.00672,0.07959,0.772,0.04421,0.04962,0.13262,19.664
148.272,164.989,142.299,0.00459,3e-05,0.0025,0.00256,0.0075,0.0419,0.383,0.02383,0.02521,0.0715,18.78
152.125,161.469,76.596,0.00382,3e-05,0.00191,0.00226,0.00574,0.05925,0.637,0.03341,0.03794,0.10024,20.969
157.821,172.975,68.401,0.00358,2e-05,0.00196,0.00196,0.00587,0.03716,0.307,0.02062,0.02321,0.06185,22.219
157.447,163.267,149.605,0.00369,2e-05,0.00201,0.00197,0.00602,0.03272,0.283,0.01813,0.01909,0.05439,21.693
159.116,168.913,144.811,0.00342,2e-05,0.00178,0.00184,0.00535,0.03381,0.307,0.01806,0.02024,0.05417,22.663
125.036,143.946,116.187,0.01101,3.744262295081968e-05,0.00743,0.00576,0.01778,0.03886,0.342,0.02135,0.02174,0.06406,15.338
125.791,140.557,96.206,0.01101,3.744262295081968e-05,0.00826,0.00576,0.01778,0.04689,0.422,0.02542,0.0263,0.07625,15.433
126.512,141.756,99.77,0.01101,3.744262295081968e-05,0.01159,0.00576,0.01778,0.06734,0.659,0.03611,0.03963,0.10833,12.435
125.641,141.068,116.346,0.01101,3.744262295081968e-05,0.02144,0.00576,0.01778,0.09178,0.891,0.05358,0.04791,0.16074,8.867
128.451,150.449,75.632,0.01101,3.744262295081968e-05,0.00905,0.00576,0.01778,0.0617,0.584,0.03223,0.03672,0.09669,15.06
139.224,177.4146338797814,66.157,0.01101,3.744262295081968e-05,0.01854,0.00576,0.01778,0.09419,0.93,0.05551,0.05005,0.16654,10.489
150.258,154.609,75.349,0.00248,2e-05,0.00105,0.00136,0.00315,0.01131,0.107,0.00522,0.00659,0.01567,26.759
154.003,160.267,128.621,0.00183,1e-05,0.00076,0.001,0.00229,0.0103,0.094,0.00469,0.00582,0.01406,28.409
149.689,160.368,133.608,0.00257,2e-05,0.00116,0.00134,0.00349,0.01346,0.126,0.0066,0.00818,0.01979,27.421
155.078,163.736,144.148,0.00168,1e-05,0.00068,0.00092,0.00204,0.01064,0.097,0.00522,0.00632,0.01567,29.746
151.884,157.765,133.751,0.00258,2e-05,0.00115,0.00122,0.00346,0.0145,0.137,0.00633,0.00788,0.01898,26.833
151.989,157.339,132.857,0.00174,1e-05,0.00075,0.00096,0.00225,0.01024,0.093,0.00455,0.00576,0.01364,29.928
193.03,208.9,80.297,0.00766,4e-05,0.0045,0.00389,0.01351,0.03044,0.275,0.01771,0.01815,0.05312,21.934
200.714,223.982,89.686,0.00621,3e-05,0.00371,0.00337,0.01112,0.02286,0.207,0.01192,0.01439,0.03576,23.239
208.519,220.315,195.708,0.00609,3e-05,0.00368,0.00339,0.01105,0.01761,0.155,0.00952,0.01058,0.02855,22.407
204.664,221.3,189.621,0.00841,4e-05,0.00502,0.00485,0.01506,0.02378,0.21,0.01277,0.01483,0.03831,21.305
210.141,232.706,185.258,0.00534,3e-05,0.00321,0.0028,0.00964,0.0168,0.149,0.00861,0.01017,0.02583,23.671
206.327,226.355,92.02,0.00495,2e-05,0.00302,0.00246,0.00905,0.02105,0.209,0.01107,0.01284,0.0332,21.864
151.872,177.4146338797814,69.085,0.00856,6e-05,0.00404,0.00385,0.01211,0.01843,0.235,0.00796,0.00832,0.02389,23.693
158.219,177.4146338797814,71.948,0.00476,3e-05,0.00214,0.00207,0.00642,0.01458,0.148,0.00606,0.00747,0.01818,26.356
170.756,177.4146338797814,79.032,0.00555,3e-05,0.00244,0.00261,0.00731,0.01725,0.175,0.00757,0.00971,0.0227,25.69
178.285,177.4146338797814,82.063,0.00462,3e-05,0.00157,0.00194,0.00472,0.01279,0.129,0.00617,0.00744,0.01851,25.02
217.116,233.481,93.978,0.00404,2e-05,0.00127,0.00128,0.00381,0.01299,0.124,0.00679,0.00631,0.02038,24.581
128.94,177.4146338797814,88.251,0.00581,5e-05,0.00241,0.00314,0.00723,0.02008,0.221,0.00849,0.01117,0.02548,24.743
176.824,215.293,83.961,0.0046,3e-05,0.00209,0.00221,0.00628,0.01169,0.117,0.00534,0.0063,0.01603,27.166
138.19,203.522,83.34,0.00704,5e-05,0.00406,0.00398,0.01218,0.04479,0.441,0.02587,0.02567,0.07761,18.305
182.018,197.173,79.187,0.00842,5e-05,0.00506,0.00449,0.01517,0.02503,0.231,0.01372,0.0158,0.04115,18.784
156.239,195.107,79.82,0.00694,4e-05,0.00403,0.00395,0.01209,0.02343,0.224,0.01289,0.0142,0.03867,19.196
145.174,198.109,80.637,0.00733,5e-05,0.00414,0.00422,0.01242,0.02362,0.233,0.01235,0.01495,0.03706,18.857
138.145,197.238,81.114,0.00544,4e-05,0.00294,0.00327,0.00883,0.02791,0.246,0.01484,0.01805,0.04451,18.178
166.888,198.966,79.512,0.00638,4e-05,0.00368,0.00351,0.01104,0.02857,0.257,0.01547,0.01859,0.04641,18.33
119.031,127.533,109.216,0.0044,4e-05,0.00214,0.00192,0.00641,0.01033,0.098,0.00538,0.0057,0.01614,26.842
120.078,126.632,105.667,0.0027,2e-05,0.00116,0.00135,0.00349,0.01022,0.09,0.00476,0.00588,0.01428,26.369
120.289,128.143,100.209,0.00492,4e-05,0.00269,0.00238,0.00808,0.01412,0.125,0.00703,0.0082,0.0211,23.949
120.256,125.306,104.773,0.00407,3e-05,0.00224,0.00205,0.00671,0.01516,0.138,0.00721,0.00815,0.02164,26.017
119.056,125.213,86.795,0.00346,3e-05,0.00169,0.0017,0.00508,0.01201,0.106,0.00633,0.00701,0.01898,23.389
118.747,123.723,109.836,0.00331,3e-05,0.00168,0.00171,0.00504,0.01043,0.099,0.0049,0.00621,0.01471,25.619
106.516,112.777,93.105,0.00589,6e-05,0.00291,0.00319,0.00873,0.04932,0.441,0.02683,0.03112,0.0805,17.06
110.453,127.611,105.554,0.00494,4e-05,0.00244,0.00315,0.00731,0.04128,0.379,0.02229,0.02592,0.06688,17.707
113.4,133.344,107.816,0.00451,4e-05,0.00219,0.00283,0.00658,0.04879,0.431,0.02385,0.02973,0.07154,19.013
113.166,130.27,100.673,0.00502,4e-05,0.00257,0.00312,0.00772,0.05279,0.476,0.02896,0.03347,0.08689,16.747
112.239,126.609,104.095,0.00472,4e-05,0.00238,0.0029,0.00715,0.05643,0.517,0.0307,0.0353,0.09211,17.366
116.15,131.731,109.815,0.00381,3e-05,0.00181,0.00232,0.00542,0.03026,0.267,0.01514,0.01812,0.04543,18.801
170.368,268.796,79.543,0.00571,3e-05,0.00232,0.00269,0.00696,0.03273,0.281,0.01713,0.01964,0.05139,18.54
208.083,253.792,91.802,0.00757,4e-05,0.00428,0.00428,0.01285,0.06725,0.571,0.04016,0.04003,0.12047,15.648
198.458,219.29,148.691,0.00376,2e-05,0.00182,0.00215,0.00546,0.03527,0.297,0.02055,0.02076,0.06165,18.702
202.805,231.508,86.232,0.0037,2e-05,0.00189,0.00211,0.00568,0.01997,0.18,0.01117,0.01177,0.0335,18.687
202.544,241.35,164.168,0.00254,1e-05,0.001,0.00133,0.00301,0.02662,0.228,0.01475,0.01558,0.04426,20.68
223.361,263.872,87.638,0.00352,2e-05,0.00169,0.00188,0.00506,0.02536,0.225,0.01379,0.01478,0.04137,20.366
169.774,191.759,151.451,0.01101,9e-05,0.00863,0.00576,0.01778,0.08143,0.821,0.03804,0.05426,0.11411,12.359
183.52,216.814,161.34,0.01101,8e-05,0.00849,0.00576,0.01778,0.0605,0.618,0.02865,0.04101,0.08595,14.367
188.62,216.302,165.982,0.01101,9e-05,0.00996,0.00576,0.01778,0.07118,0.722,0.03474,0.0458,0.10422,12.298
202.632,177.4146338797814,177.258,0.01101,8e-05,0.00919,0.00576,0.01778,0.0717,0.833,0.03515,0.04265,0.10546,14.989
186.695,211.961,149.442,0.01101,3.744262295081968e-05,0.01075,0.00576,0.01778,0.0583,0.784,0.02699,0.03714,0.08096,12.529
192.818,224.429,168.793,0.01101,3.744262295081968e-05,0.018,0.00576,0.01778,0.11908,1.302,0.05647,0.0794,0.16942,8.441
198.116,233.099,174.478,0.01101,3.744262295081968e-05,0.01568,0.00576,0.01778,0.08684,1.018,0.04284,0.05556,0.12851,9.449
121.345,139.644,98.25,0.00684,6e-05,0.00388,0.00332,0.01164,0.02534,0.241,0.0134,0.01399,0.04019,21.52
119.1,128.442,88.833,0.00692,6e-05,0.00393,0.003,0.01179,0.02682,0.236,0.01484,0.01405,0.04451,21.824
117.87,127.349,95.654,0.00647,5e-05,0.00356,0.003,0.01067,0.03087,0.276,0.01659,0.01804,0.04977,22.431
122.336,142.369,94.794,0.00727,6e-05,0.00415,0.00339,0.01246,0.02293,0.223,0.01205,0.01289,0.03615,22.953
117.963,134.209,100.757,0.01101,3.744262295081968e-05,0.01117,0.00576,0.01778,0.04912,0.438,0.0261,0.02161,0.0783,19.075
126.144,154.284,97.543,0.00975,8e-05,0.00593,0.00454,0.01778,0.02852,0.266,0.015,0.01581,0.04499,21.534
127.93,138.752,112.173,0.00605,5e-05,0.00321,0.00318,0.00962,0.03235,0.339,0.0136,0.0165,0.04079,19.651
114.238,124.393,77.022,0.00581,5e-05,0.00299,0.00316,0.00896,0.04009,0.406,0.01579,0.01994,0.04736,20.437
115.322,135.738,107.802,0.00619,5e-05,0.00352,0.00329,0.01057,0.03273,0.325,0.01644,0.01722,0.04933,19.388
114.554,126.778,91.121,0.00651,6e-05,0.00366,0.0034,0.01097,0.03658,0.369,0.01864,0.0194,0.05592,18.954
112.15,131.669,97.527,0.00519,5e-05,0.00291,0.00284,0.00873,0.01756,0.155,0.00967,0.01033,0.02902,21.219
102.273,142.83,85.902,0.00907,9e-05,0.00493,0.00461,0.0148,0.02814,0.272,0.01579,0.01553,0.04736,18.447
236.2,244.663,102.137,0.00277,1e-05,0.00154,0.00153,0.00462,0.02448,0.217,0.0141,0.01426,0.04231,24.078
237.323,243.709,195.708,0.00303,1e-05,0.00173,0.00159,0.00519,0.01242,0.116,0.00696,0.00747,0.02089,24.679
260.105,264.919,195.708,0.00339,1e-05,0.00205,0.00186,0.00616,0.0203,0.197,0.01186,0.0123,0.03557,21.083
197.569,217.627,90.794,0.00803,4e-05,0.0049,0.00448,0.0147,0.02177,0.189,0.01279,0.01272,0.03836,19.269
240.301,245.135,195.708,0.00517,2e-05,0.00316,0.00283,0.00949,0.02018,0.212,0.01176,0.01191,0.03529,21.02
244.99,272.21,195.708,0.00451,2e-05,0.00279,0.00237,0.00837,0.01897,0.181,0.01084,0.01121,0.03253,21.528
112.547,133.374,105.715,0.00355,3e-05,0.00166,0.0019,0.00499,0.01358,0.129,0.00664,0.00786,0.01992,26.436
110.739,113.597,100.139,0.00356,3e-05,0.0017,0.002,0.0051,0.01484,0.133,0.00754,0.0095,0.02261,26.55
113.715,116.443,96.913,0.00349,3e-05,0.00171,0.00203,0.00514,0.01472,0.133,0.00748,0.00905,0.02245,26.547
117.004,144.466,99.923,0.00353,3e-05,0.00176,0.00218,0.00528,0.01657,0.145,0.00881,0.01062,0.02643,25.445
115.38,123.109,108.634,0.00332,3e-05,0.0016,0.00199,0.0048,0.01503,0.137,0.00812,0.00933,0.02436,26.005
116.388,129.038,108.97,0.00346,3e-05,0.00169,0.00213,0.00507,0.01725,0.155,0.00874,0.01021,0.02623,26.143
151.737,190.204,129.859,0.00314,2e-05,0.00135,0.00162,0.00406,0.01469,0.132,0.00728,0.00886,0.02184,24.151
148.79,158.359,138.99,0.00309,2e-05,0.00152,0.00186,0.00456,0.01574,0.142,0.00839,0.00956,0.02518,24.412
148.143,155.982,135.041,0.00392,3e-05,0.00204,0.00231,0.00612,0.0145,0.131,0.00725,0.00876,0.02175,23.683
150.44,163.441,144.736,0.00396,3e-05,0.00206,0.00233,0.00619,0.02551,0.237,0.01321,0.01574,0.03964,23.133
148.462,161.078,141.998,0.00397,3e-05,0.00202,0.00235,0.00605,0.01831,0.163,0.0095,0.01103,0.02849,22.866
149.818,163.417,144.786,0.00336,2e-05,0.00174,0.00198,0.00521,0.02145,0.198,0.01155,0.01341,0.03464,23.008
117.226,123.925,106.656,0.00417,4e-05,0.00186,0.0027,0.00558,0.01909,0.171,0.00864,0.01223,0.02592,23.079
116.848,217.552,99.503,0.00531,5e-05,0.0026,0.00346,0.0078,0.01795,0.163,0.0081,0.01144,0.02429,22.085
116.286,177.291,96.983,0.00314,3e-05,0.00134,0.00192,0.00403,0.01564,0.136,0.00667,0.0099,0.02001,24.199
116.556,177.4146338797814,86.228,0.00496,4e-05,0.00254,0.00263,0.00762,0.0166,0.154,0.0082,0.00972,0.0246,23.958
116.342,177.4146338797814,94.246,0.00267,2e-05,0.00115,0.00148,0.00345,0.013,0.117,0.00631,0.00789,0.01892,25.023
114.563,119.167,86.647,0.00327,3e-05,0.00146,0.00184,0.00439,0.01185,0.106,0.00557,0.00721,0.01672,24.775
201.774,262.707,78.228,0.00694,3e-05,0.00412,0.00396,0.01235,0.02574,0.255,0.01454,0.01582,0.04363,19.368
174.188,230.978,94.261,0.00459,3e-05,0.00263,0.00259,0.0079,0.04087,0.405,0.02336,0.02498,0.07008,19.517
209.516,253.017,89.488,0.00564,3e-05,0.00331,0.00292,0.00994,0.02751,0.263,0.01604,0.01657,0.04812,19.147
174.688,240.005,74.287,0.01101,8e-05,0.00624,0.00564,0.01778,0.02308,0.256,0.01268,0.01365,0.03804,17.883
198.764,177.4146338797814,74.904,0.0074,4e-05,0.0037,0.0039,0.01109,0.02296,0.241,0.01265,0.01321,0.03794,19.02
214.289,260.277,77.973,0.00567,3e-05,0.00295,0.00317,0.00885,0.01884,0.19,0.01026,0.01161,0.03078,21.209
